date,product,channel,orders,revenue,cost,visitors,customers
2024-01-01,Premium Gadget,Direct,1,1200,800,50,5
2024-01-01,Standard Widget,Social,1,300,200,100,2
2024-01-02,Premium Gadget,Direct,1,1200,800,45,4
2024-01-02,Basic Tool,Email,1,150,100,30,3
2024-01-03,Standard Widget,Organic,1,300,200,80,2
2024-01-03,Premium Gadget,Social,1,1200,800,60,6
2024-01-04,Basic Tool,Direct,1,150,100,25,2
2024-01-04,Standard Widget,Email,1,300,200,40,3
2024-01-05,Premium Gadget,Direct,1,1200,800,55,5
2024-01-05,Basic Tool,Social,1,150,100,35,1
2024-01-06,Standard Widget,Organic,1,300,200,75,4
2024-01-06,Premium Gadget,Email,1,1200,800,50,4
2024-01-07,Basic Tool,Direct,1,150,100,22,2
2024-01-07,Standard Widget,Social,1,300,200,90,3
2024-01-08,Premium Gadget,Direct,1,1200,800,48,4
2024-01-08,Basic Tool,Email,1,150,100,28,3
2024-01-09,Standard Widget,Organic,1,300,200,85,2
2024-01-09,Premium Gadget,Social,1,1200,800,58,5
2024-01-10,Basic Tool,Direct,1,150,100,20,1
2024-01-10,Standard Widget,Email,1,300,200,42,4
