date,order_id,product,channel,revenue,profit
2024-01-01,ORD-001,Premium Gadget,Direct,1200,400
2024-01-01,ORD-002,Standard Widget,Social,300,100
2024-01-02,ORD-003,Premium Gadget,Direct,1200,400
2024-01-02,ORD-004,Basic Tool,Email,150,50
2024-01-03,ORD-005,Standard Widget,Organic,300,100
2024-01-03,ORD-006,Premium Gadget,Social,1200,400
2024-01-04,ORD-007,Basic Tool,Direct,150,50
2024-01-04,ORD-008,Standard Widget,Email,300,100
2024-01-05,ORD-009,Premium Gadget,Direct,1200,400
2024-01-05,ORD-010,Basic Tool,Social,150,50
2024-01-06,ORD-011,Standard Widget,Organic,300,100
2024-01-06,ORD-012,Premium Gadget,Email,1200,400
2024-01-07,ORD-013,Basic Tool,Direct,150,50
2024-01-07,ORD-014,Standard Widget,Social,300,100
2024-01-08,ORD-015,Premium Gadget,Direct,1200,400
2024-01-08,ORD-016,Basic Tool,Email,150,50
2024-01-09,ORD-017,Standard Widget,Organic,300,100
2024-01-09,ORD-018,Premium Gadget,Social,1200,400
2024-01-10,ORD-019,Basic Tool,Direct,150,50
2024-01-10,ORD-020,Standard Widget,Email,300,100
